cf_timestamp_ms,host_monotonic_s,sensorFilter.surfBefore,sensorFilter.surfAfter,sensorFilter.surfDelta,sensorFilter.surfSign
68053,1861.677148,0.0,0.0,0.0,0
68073,1861.697150,0.0,0.0,0.0,0
68093,1861.717148,0.0,0.0,0.0,0
68113,1861.737175,0.0,0.0,0.0,0
68133,1861.757151,0.0,0.0,0.0,0
68153,1861.777158,0.0,0.0,0.0,0
68173,1861.797145,0.0,0.0,0.0,0
68193,1861.817144,0.0,0.0,0.0,0
68213,1861.836149,0.0,0.0,0.0,0
68233,1861.856148,0.0,0.0,0.0,0
68253,1861.877144,0.0,0.0,0.0,0
68273,1861.896206,0.0,0.0,0.0,0
68293,1861.916182,0.0,0.0,0.0,0
68313,1861.936141,0.0,0.0,0.0,0
68333,1861.956152,0.0,0.0,0.0,0
68353,1861.977143,0.0,0.0,0.0,0
68373,1861.996143,0.0,0.0,0.0,0
68393,1862.016138,0.0,0.0,0.0,0
68413,1862.036139,0.0,0.0,0.0,0
68433,1862.056141,0.0,0.0,0.0,0
68453,1862.077140,0.0,0.0,0.0,0
68473,1862.096135,0.0,0.0,0.0,0
68493,1862.116136,0.0,0.0,0.0,0
68513,1862.136139,0.0,0.0,0.0,0
68533,1862.156135,0.0,0.0,0.0,0
68553,1862.176141,0.0,0.0,0.0,0
68573,1862.196135,0.0,0.0,0.0,0
68593,1862.216134,0.0,0.0,0.0,0
68613,1862.236133,0.0,0.0,0.0,0
68633,1862.256138,0.0,0.0,0.0,0
68653,1862.277132,0.0,0.0,0.0,0
68673,1862.296141,0.0,0.0,0.0,0
68693,1862.316136,0.0,0.0,0.0,0
68713,1862.336140,0.0,0.0,0.0,0
68733,1862.356133,0.0,0.0,0.0,0
68753,1862.377133,0.0,0.0,0.0,0
68773,1862.396142,0.0,0.0,0.0,0
68793,1862.416143,0.0,0.0,0.0,0
68813,1862.436135,0.0,0.0,0.0,0
68833,1862.456129,0.0,0.0,0.0,0
68853,1862.477137,0.0,0.0,0.0,0
68873,1862.496126,0.0,0.0,0.0,0
68893,1862.516128,0.0,0.0,0.0,0
68913,1862.536125,0.0,0.0,0.0,0
68933,1862.556126,0.0,0.0,0.0,0
68953,1862.577129,0.0,0.0,0.0,0
68973,1862.596158,0.0,0.0,0.0,0
68993,1862.616127,0.0,0.0,0.0,0
69013,1862.636130,0.0,0.0,0.0,0
69033,1862.656130,0.0,0.0,0.0,0
69053,1862.676126,0.0,0.0,0.0,0
69073,1862.696131,0.0,0.0,0.0,0
69093,1862.716126,0.0,0.0,0.0,0
69113,1862.736373,0.0,0.0,0.0,0
69133,1862.755548,0.0,0.0,0.0,0
69153,1862.776550,0.0,0.0,0.0,0
69173,1862.795549,0.0,0.0,0.0,0
69193,1862.815566,0.0,0.0,0.0,0
69213,1862.835549,0.0,0.0,0.0,0
69233,1862.855547,0.0,0.0,0.0,0
69253,1862.876548,0.0,0.0,0.0,0
69273,1862.895547,0.0,0.0,0.0,0
69293,1862.915545,0.0,0.0,0.0,0
69313,1862.935542,0.0,0.0,0.0,0
69333,1862.955543,0.0,0.0,0.0,0
69353,1862.976542,0.0,0.0,0.0,0
69373,1862.995542,0.0,0.0,0.0,0
69393,1863.015541,0.0,0.0,0.0,0
69413,1863.035545,0.0,0.0,0.0,0
69433,1863.055543,0.0,0.0,0.0,0
69453,1863.076550,0.0,0.0,0.0,0
69473,1863.095542,0.0,0.0,0.0,0
69493,1863.115539,0.0,0.0,0.0,0
69513,1863.135539,0.0,0.0,0.0,0
69533,1863.155540,0.0,0.0,0.0,0
69553,1863.176544,0.0,0.0,0.0,0
69573,1863.195535,0.0,0.0,0.0,0
69593,1863.215536,0.0,0.0,0.0,0
69613,1863.235537,0.0,0.0,0.0,0
69633,1863.255542,0.0,0.0,0.0,0
69653,1863.276542,0.0,0.0,0.0,0
69673,1863.295535,0.0,0.0,0.0,0
69693,1863.315534,0.0,0.0,0.0,0
69713,1863.335538,0.0,0.0,0.0,0
69733,1863.355534,0.0,0.0,0.0,0
69753,1863.376545,0.0,0.0,0.0,0
69773,1863.395533,0.0,0.0,0.0,0
69793,1863.415532,0.0,0.0,0.0,0
69813,1863.435532,0.0,0.0,0.0,0
69833,1863.455536,0.0,0.0,0.0,0
69853,1863.476544,0.0,0.0,0.0,0
69873,1863.495530,0.0,0.0,0.0,0
69893,1863.515530,0.0,0.0,0.0,0
69913,1863.535529,0.0,0.0,0.0,0
69933,1863.555529,0.0,0.0,0.0,0
69953,1863.576540,0.0,0.0,0.0,0
69973,1863.595527,0.0,0.0,0.0,0
69993,1863.615528,0.0,0.0,0.0,0
70013,1863.635529,0.0,0.0,0.0,0
70033,1863.655528,0.0,0.0,0.0,0
70053,1863.676539,0.0,0.0,0.0,0
70073,1863.695525,0.0,0.0,0.0,0
70093,1863.715526,0.0,0.0,0.0,0
70113,1863.735523,0.0,0.0,0.0,0
70133,1863.755525,0.0,0.0,0.0,0
70153,1863.776536,0.0,0.0,0.0,0
70173,1863.795523,0.0,0.0,0.0,0
70193,1863.815521,0.0,0.0,0.0,0
70213,1863.835522,0.0,0.0,0.0,0
70233,1863.855524,0.0,0.0,0.0,0
70253,1863.875537,0.0,0.0,0.0,0
70273,1863.895521,0.0,0.0,0.0,0
70293,1863.915519,0.0,0.0,0.0,0
70313,1863.935519,0.0,0.0,0.0,0
70333,1863.955522,0.0,0.0,0.0,0
70353,1863.975531,0.0,0.0,0.0,0
70373,1863.995517,0.0,0.0,0.0,0
70393,1864.015522,0.0,0.0,0.0,0
70413,1864.035516,0.0,0.0,0.0,0
70433,1864.055518,0.0,0.0,0.0,0
70453,1864.075519,0.0,0.0,0.0,0
70473,1864.095102,0.0,0.0,0.0,0
70493,1864.115098,0.0,0.0,0.0,0
70513,1864.135100,0.0,0.0,0.0,0
70533,1864.155103,0.0,0.0,0.0,0
70553,1864.175103,0.0,0.0,0.0,0
70573,1864.195095,0.0,0.0,0.0,0
70593,1864.215097,0.0,0.0,0.0,0
70613,1864.235093,0.0,0.0,0.0,0
70633,1864.255100,0.0,0.0,0.0,0
70653,1864.275115,0.0,0.0,0.0,0
70673,1864.294516,0.0,0.0,0.0,0
70693,1864.314514,0.0,0.0,0.0,0
70713,1864.334513,0.0,0.0,0.0,0
70733,1864.354515,0.0,0.0,0.0,0
70753,1864.374527,0.0,0.0,0.0,0
70773,1864.394511,0.0,0.0,0.0,0
70793,1864.414508,0.0,0.0,0.0,0
70813,1864.434509,0.0,0.0,0.0,0
70833,1864.454511,0.0,0.0,0.0,0
70853,1864.474546,0.0,0.0,0.0,0
70873,1864.494507,0.0,0.0,0.0,0
70893,1864.514510,0.0,0.0,0.0,0
70913,1864.534507,0.0,0.0,0.0,0
70933,1864.554508,0.0,0.0,0.0,0
70953,1864.574512,0.0,0.0,0.0,0
70973,1864.594509,0.0,0.0,0.0,0
70993,1864.614507,0.0,0.0,0.0,0
71013,1864.634507,0.0,0.0,0.0,0
71033,1864.654507,0.0,0.0,0.0,0
71053,1864.674512,0.0,0.0,0.0,0
71073,1864.694504,0.0,0.0,0.0,0
71093,1864.714537,0.0,0.0,0.0,0
71113,1864.734504,0.0,0.0,0.0,0
71133,1864.754508,0.0,0.0,0.0,0
71153,1864.774514,0.0,0.0,0.0,0
71173,1864.794501,0.0,0.0,0.0,0
71193,1864.814500,0.0,0.0,0.0,0
71213,1864.834503,0.0,0.0,0.0,0
71233,1864.854504,0.0,0.0,0.0,0
71253,1864.874509,0.0,0.0,0.0,0
71273,1864.894500,0.0,0.0,0.0,0
71293,1864.914531,0.0,0.0,0.0,0
71313,1864.934500,0.0,0.0,0.0,0
71333,1864.954505,0.0,0.0,0.0,0
71353,1864.974508,0.0,0.0,0.0,0
71373,1864.994496,0.0,0.0,0.0,0
71393,1865.014499,0.0,0.0,0.0,0
71413,1865.034498,0.0,0.0,0.0,0
71433,1865.054500,0.0,0.0,0.0,0
71453,1865.074511,0.0,0.0,0.0,0
71473,1865.094496,0.0,0.0,0.0,0
71493,1865.114496,0.0,0.0,0.0,0
71513,1865.134501,0.0,0.0,0.0,0
71533,1865.154496,0.0,0.0,0.0,0
71553,1865.174503,0.0,0.0,0.0,0
71573,1865.194497,0.0,0.0,0.0,0
71593,1865.214491,0.0,0.0,0.0,0
71613,1865.234490,0.0,0.0,0.0,0
71633,1865.254496,0.0,0.0,0.0,0
71653,1865.274502,0.0,0.0,0.0,0
71673,1865.294490,0.0,0.0,0.0,0
71693,1865.314490,0.0,0.0,0.0,0
71713,1865.334496,0.0,0.0,0.0,0
71733,1865.354494,0.0,0.0,0.0,0
71753,1865.374491,0.0,0.0,0.0,0
71773,1865.394490,0.0,0.0,0.0,0
71793,1865.414487,0.0,0.0,0.0,0
71813,1865.434488,0.0,0.0,0.0,0
71833,1865.454490,0.0,0.0,0.0,0
71853,1865.473486,0.0,0.0,0.0,0
71873,1865.494485,0.0,0.0,0.0,0
71893,1865.513486,0.0,0.0,0.0,0
71913,1865.534447,0.0,0.0,0.0,0
71933,1865.553447,0.0,0.0,0.0,0
71953,1865.574458,0.0,0.0,0.0,0
71973,1865.593451,0.0,0.0,0.0,0
71993,1865.613451,0.0,0.0,0.0,0
72013,1865.633448,0.0,0.0,0.0,0
72033,1865.653453,0.0,0.0,0.0,0
72053,1865.673451,0.0,0.0,0.0,0
72073,1865.693452,0.0,0.0,0.0,0
72093,1865.713451,0.0,0.0,0.0,0
72113,1865.733450,0.0,0.0,0.0,0
72133,1865.753449,0.0,0.0,0.0,0
72153,1865.773455,0.0,0.0,0.0,0
72173,1865.793451,0.0,0.0,0.0,0
72193,1865.813449,0.0,0.0,0.0,0
72213,1865.834079,0.0,0.0,0.0,0
72233,1865.854034,0.0,0.0,0.0,0
72253,1865.874073,0.0,0.0,0.0,0
72273,1865.894030,0.0,0.0,0.0,0
72293,1865.914029,0.0,0.0,0.0,0
