Timestamp,sensorFilter.baroAge,sensorFilter.baroLag,sensorFilter.baroSeen,sensorFilter.lateElig,sensorFilter.tofAge
585474,13,27,1,0,0
585494,16,34,1,0,0
585514,16,34,1,0,0
585534,20,39,1,0,1
585554,20,39,1,0,1
585574,11,21,1,0,1
585594,2,3,1,0,1
585614,2,3,1,0,1
585634,12,26,1,0,0
585654,4,7,1,0,1
585674,4,7,1,0,1
585694,15,29,1,0,1
585714,15,29,1,0,1
585734,18,35,1,0,1
585754,18,35,1,0,1
585774,9,17,1,0,1
585794,20,39,1,0,1
585814,20,39,1,0,1
585834,11,22,1,0,1
585854,2,3,1,0,1
585874,2,3,1,0,1
585894,13,25,1,0,1
585914,4,7,1,0,1
585934,4,7,1,0,1
585954,15,29,1,0,1
585974,15,29,1,0,1
585994,6,11,1,0,0
586014,17,33,1,0,1
586034,17,33,1,0,1
586054,7,15,1,0,0
586074,18,38,1,0,0
586094,18,38,1,0,0
586114,9,18,1,0,0
586134,20,39,1,0,0
586154,20,39,1,0,0
586174,12,23,1,0,1
586194,2,3,1,0,0
586214,2,3,1,0,0
586234,12,25,1,0,0
586254,3,7,1,0,0
586274,3,7,1,0,0
586294,14,29,1,0,0
586314,14,29,1,0,0
586334,5,12,1,0,0
586354,16,33,1,0,0
586374,16,33,1,0,0
586394,7,15,1,0,0
586414,18,41,1,0,0
586434,18,41,1,0,0
586454,10,19,1,0,1
586474,20,39,1,0,1
586494,20,39,1,0,1
586514,10,19,1,0,1
586534,20,40,1,0,1
586554,20,40,1,0,1
586574,11,22,1,0,1
586594,2,3,1,0,1
586614,2,3,1,0,1
586634,12,26,1,0,0
586654,4,7,1,0,1
586674,4,7,1,0,1
586694,4,7,1,0,1
586714,7,14,1,0,1
586734,18,35,1,0,1
586754,18,35,1,0,1
586774,9,17,1,0,1
586794,20,39,1,0,1
586814,20,39,1,0,1
586834,11,21,1,0,1
586854,2,3,1,0,1
586874,2,3,1,0,1
586894,12,25,1,0,0
586914,4,7,1,0,1
586934,4,7,1,0,1
586954,15,31,1,0,1
586974,15,31,1,0,1
586994,5,11,1,0,0
587014,16,33,1,0,0
587034,16,33,1,0,0
587054,8,15,1,0,1
587074,18,36,1,0,0
587094,18,36,1,0,0
587114,9,18,1,0,0
587134,20,41,1,0,0
587154,20,41,1,0,0
587174,10,22,1,0,0
587194,1,3,1,0,0
587214,1,3,1,0,0
587234,12,26,1,0,0
587254,3,8,1,0,0
587274,3,8,1,0,0
587294,14,29,1,0,0
587314,14,29,1,0,0
587334,5,11,1,0,0
587354,16,34,1,0,0
587374,16,34,1,0,0
587394,7,16,1,0,0
587414,18,39,1,0,0
587434,18,39,1,0,0
587454,10,19,1,0,1
587474,10,19,1,0,1
587494,13,26,1,0,1
587514,4,8,1,0,1
587534,4,8,1,0,1
587554,15,30,1,0,1
587574,15,30,1,0,1
587594,6,12,1,0,1
587614,17,35,1,0,1
587634,17,35,1,0,1
587654,8,16,1,0,1
587674,19,37,1,0,1
587694,19,37,1,0,1
587714,11,22,1,0,1
587734,20,43,1,0,0
587754,20,43,1,0,0
587774,12,24,1,0,1
587794,2,5,1,0,0
587814,2,5,1,0,0
587834,14,27,1,0,1
587854,14,27,1,0,1
587874,5,10,1,0,1
587894,16,31,1,0,1
587914,16,31,1,0,1
587934,7,13,1,0,1
587954,17,35,1,0,0
587974,17,35,1,0,0
