Timestamp,sensorFilter.baroAgeD,sensorFilter.baroLagD,sensorFilter.baroSeenD,sensorFilter.tofAgeD,sensorFilter.vzDec
4994493,0,0,0,0,0.0
4994513,0,0,0,0,0.0
4994533,0,0,0,0,0.0
4994553,0,0,0,0,0.0
4994573,0,0,0,0,0.0
4994593,0,0,0,0,0.0
4994613,0,0,0,0,0.0
4994633,0,0,0,0,0.0
4994653,0,0,0,0,0.0
4994673,0,0,0,0,0.0
4994693,0,0,0,0,0.0
4994713,0,0,0,0,0.0
4994733,0,0,0,0,0.0
4994753,0,0,0,0,0.0
4994773,0,0,0,0,0.0
4994793,0,0,0,0,0.0
4994813,0,0,0,0,0.0
4994833,0,0,0,0,0.0
4994853,0,0,0,0,0.0
4994873,0,0,0,0,0.0
4994893,0,0,0,0,0.0
4994913,0,0,0,0,0.0
4994933,0,0,0,0,0.0
4994953,0,0,0,0,0.0
4994973,0,0,0,0,0.0
4994993,0,0,0,0,0.0
4995013,0,0,0,0,0.0
4995033,0,0,0,0,0.0
4995053,0,0,0,0,0.0
4995073,0,0,0,0,0.0
4995093,0,0,0,0,0.0
4995113,0,0,0,0,0.0
4995133,0,0,0,0,0.0
4995153,0,0,0,0,0.0
4995173,0,0,0,0,0.0
4995193,0,0,0,0,0.0
4995213,0,0,0,0,0.0
4995233,0,0,0,0,0.0
4995253,0,0,0,0,0.0
4995273,0,0,0,0,0.0
4995293,0,0,0,0,0.0
4995313,0,0,0,0,0.0
4995333,0,0,0,0,0.0
4995353,0,0,0,0,0.0
4995373,0,0,0,0,0.0
4995393,0,0,0,0,0.0
4995413,0,0,0,0,0.0
4995433,0,0,0,0,0.0
4995453,0,0,0,0,0.0
4995473,0,0,0,0,0.0
4995493,0,0,0,0,0.0
4995513,0,0,0,0,0.0
4995533,0,0,0,0,0.0
4995553,0,0,0,0,0.0
4995573,0,0,0,0,0.0
4995593,0,0,0,0,0.0
4995613,0,0,0,0,0.0
4995633,0,0,0,0,0.0
4995653,0,0,0,0,0.0
4995673,0,0,0,0,0.0
4995693,0,0,0,0,0.0
4995713,0,0,0,0,0.0
4995733,0,0,0,0,0.0
4995753,0,0,0,0,0.0
4995773,0,0,0,0,0.0
4995793,0,0,0,0,0.0
4995813,0,0,0,0,0.0
