Timestamp,sensorFilter.baro0,sensorFilter.baroDDec,sensorFilter.baroDec,sensorFilter.surfReason,sensorFilter.surfState
4986424,0.7462234497070312,0.0,0.0,6,1
4986444,0.7462234497070312,0.0,0.0,6,1
4986464,0.7462234497070312,0.0,0.0,6,1
4986484,0.7462234497070312,0.0,0.0,6,1
4986504,0.7462234497070312,0.0,0.0,6,1
4986524,0.7462234497070312,0.0,0.0,6,1
4986544,0.7462234497070312,0.0,0.0,6,1
4986564,0.7462234497070312,0.0,0.0,6,1
4986584,0.7462234497070312,0.0,0.0,6,1
4986604,0.7462234497070312,0.0,0.0,6,1
4986624,0.7462234497070312,0.0,0.0,6,1
4986644,0.7462234497070312,0.0,0.0,8,1
4986664,0.7462234497070312,0.0,0.0,8,1
4986684,0.7462234497070312,0.0,0.0,6,1
4986704,0.7462234497070312,0.0,0.0,6,1
4986724,0.7462234497070312,0.0,0.0,8,1
4986744,0.7462234497070312,0.0,0.0,8,1
4986764,0.7462234497070312,0.0,0.0,8,1
4986784,0.7462234497070312,0.0,0.0,8,1
4986804,0.7462234497070312,0.0,0.0,8,1
4986824,0.7462234497070312,0.0,0.0,8,1
4986844,0.7462234497070312,0.0,0.0,8,1
4986864,0.7462234497070312,0.0,0.0,6,1
4986884,0.7462234497070312,0.0,0.0,6,1
4986904,0.7462234497070312,0.0,0.0,6,1
4986924,0.7462234497070312,0.0,0.0,6,1
4986944,0.7462234497070312,0.0,0.0,6,1
4986964,0.7462234497070312,0.0,0.0,6,1
4986984,0.7462234497070312,0.0,0.0,6,1
4987004,0.7462234497070312,0.0,0.0,6,1
4987024,0.7462234497070312,0.0,0.0,6,1
4987044,0.7462234497070312,0.0,0.0,6,1
4987064,0.7462234497070312,0.0,0.0,6,1
4987084,0.7462234497070312,0.0,0.0,6,1
4987104,0.7462234497070312,0.0,0.0,6,1
4987124,0.7462234497070312,0.0,0.0,6,1
4987144,0.7462234497070312,0.0,0.0,6,1
4987164,0.7462234497070312,0.0,0.0,6,1
4987184,0.7462234497070312,0.0,0.0,6,1
4987204,0.7462234497070312,0.0,0.0,6,1
4987224,0.7462234497070312,0.0,0.0,6,1
4987244,0.7462234497070312,0.0,0.0,6,1
4987264,0.7462234497070312,0.0,0.0,6,1
4987284,0.7462234497070312,0.0,0.0,6,1
4987304,0.7462234497070312,0.0,0.0,6,1
4987324,0.7462234497070312,0.0,0.0,6,1
4987344,0.7462234497070312,0.0,0.0,6,1
4987364,0.7462234497070312,0.0,0.0,6,1
4987384,0.7462234497070312,0.0,0.0,6,1
4987404,0.7462234497070312,0.0,0.0,6,1
4987424,0.7462234497070312,0.0,0.0,6,1
4987444,0.7462234497070312,0.0,0.0,6,1
4987464,0.7462234497070312,0.0,0.0,6,1
4987484,0.7462234497070312,0.0,0.0,6,1
4987504,0.7462234497070312,0.0,0.0,6,1
4987524,0.7462234497070312,0.0,0.0,6,1
4987544,0.7462234497070312,0.0,0.0,6,1
4987564,0.7462234497070312,0.0,0.0,6,1
4987584,0.7462234497070312,0.0,0.0,8,1
4987604,0.7462234497070312,0.0,0.0,8,1
4987624,0.7462234497070312,0.0,0.0,6,1
4987644,0.7462234497070312,0.0,0.0,6,1
4987664,0.7462234497070312,0.0,0.0,6,1
4987684,0.7462234497070312,0.0,0.0,6,1
4987704,0.7462234497070312,0.0,0.0,6,1
4987724,0.7462234497070312,0.0,0.0,6,1
4987744,0.7462234497070312,0.0,0.0,6,1
4987764,0.7462234497070312,0.0,0.0,6,1
4987784,0.7462234497070312,0.0,0.0,6,1
4987804,0.7462234497070312,0.0,0.0,6,1
4987824,0.7462234497070312,0.0,0.0,6,1
4987844,0.7462234497070312,0.0,0.0,6,1
4987864,0.7462234497070312,0.0,0.0,8,1
4987884,0.7462234497070312,0.0,0.0,8,1
4987904,0.7462234497070312,0.0,0.0,8,1
4987924,0.7462234497070312,0.0,0.0,8,1
4987944,0.7462234497070312,0.0,0.0,8,1
4987964,0.7462234497070312,0.0,0.0,8,1
4987984,0.7462234497070312,0.0,0.0,8,1
4988004,0.7462234497070312,0.0,0.0,8,1
4988024,0.7462234497070312,0.0,0.0,8,1
4988044,0.7462234497070312,0.0,0.0,8,1
4988064,0.7462234497070312,0.0,0.0,8,1
4988084,0.7462234497070312,0.0,0.0,8,1
4988104,0.7462234497070312,0.0,0.0,8,1
4988124,0.7462234497070312,0.0,0.0,8,1
4988144,0.7462234497070312,0.0,0.0,8,1
4988164,0.7462234497070312,0.0,0.0,8,1
4988184,0.7462234497070312,0.0,0.0,8,1
4988204,0.7462234497070312,0.0,0.0,8,1
4988224,0.7462234497070312,0.0,0.0,8,1
4988244,0.7462234497070312,0.0,0.0,8,1
4988264,0.7462234497070312,0.0,0.0,8,1
4988284,0.7462234497070312,0.0,0.0,8,1
4988304,0.7462234497070312,0.0,0.0,8,1
4988324,0.7462234497070312,0.0,0.0,8,1
4988344,0.7462234497070312,0.0,0.0,6,1
4988364,0.7462234497070312,0.0,0.0,6,1
4988384,0.7462234497070312,0.0,0.0,8,1
4988404,0.7462234497070312,0.0,0.0,8,1
4988424,0.7462234497070312,0.0,0.0,8,1
4988444,0.7462234497070312,0.0,0.0,8,1
4988464,0.7462234497070312,0.0,0.0,8,1
4988484,0.7462234497070312,0.0,0.0,8,1
4988504,0.7462234497070312,0.0,0.0,8,1
4988524,0.7462234497070312,0.0,0.0,8,1
4988544,0.7462234497070312,0.0,0.0,6,1
4988564,0.7462234497070312,0.0,0.0,6,1
4988584,0.7462234497070312,0.0,0.0,6,1
4988604,0.7462234497070312,0.0,0.0,6,1
4988624,0.7462234497070312,0.0,0.0,6,1
4988644,0.7462234497070312,0.0,0.0,6,1
4988664,0.7462234497070312,0.0,0.0,6,1
4988684,0.7462234497070312,0.0,0.0,8,1
4988704,0.7462234497070312,0.0,0.0,8,1
4988724,0.7462234497070312,0.0,0.0,8,1
4988744,0.7462234497070312,0.0,0.0,8,1
4988764,0.7462234497070312,0.0,0.0,8,1
4988784,0.7462234497070312,0.0,0.0,8,1
4988804,0.7462234497070312,0.0,0.0,6,1
4988824,0.7462234497070312,0.0,0.0,6,1
4988844,0.7462234497070312,0.0,0.0,6,1
4988864,0.7462234497070312,0.0,0.0,6,1
4988884,0.7462234497070312,0.0,0.0,6,1
4988904,0.7462234497070312,0.0,0.0,6,1
4988924,0.7462234497070312,0.0,0.0,6,1
4988944,0.7462234497070312,0.0,0.0,6,1
4988964,0.7462234497070312,0.0,0.0,6,1
4988984,0.7462234497070312,0.0,0.0,6,1
4989004,0.7462234497070312,0.0,0.0,6,1
4989024,0.7462234497070312,0.0,0.0,6,1
