Timestamp,sensorFilter.flowLocal,sensorFilter.surfBaroD,sensorFilter.surfCand,sensorFilter.surfCandInn,sensorFilter.surfClear,sensorFilter.surfN,sensorFilter.surfOffset
5608079,0,0.0,0.0,10.05164623260498,0.5573398470878601,0,0.0
5608099,0,0.0,0.023219048976898193,7.174103260040283,0.5452731251716614,0,0.0
5608119,0,0.0,0.023219048976898193,7.174103260040283,0.5452731251716614,0,0.0
5608139,0,0.07108402252197266,0.027213573455810547,15.208539962768555,0.541278600692749,0,0.0
5608159,0,0.07108402252197266,0.027213573455810547,15.208539962768555,0.541278600692749,0,0.0
5608179,0,0.05467987060546875,0.043246328830718994,26.546321868896484,0.5252458453178406,0,0.0
5608199,0,0.05467987060546875,0.043246328830718994,26.546321868896484,0.5252458453178406,0,0.0
5608219,0,-0.013669967651367188,0.050139546394348145,44.1614875793457,0.5183526277542114,0,0.0
5608239,0,-0.013669967651367188,0.050139546394348145,44.1614875793457,0.5183526277542114,0,0.0
5608259,0,-0.04374408721923828,0.05611807107925415,60.309940338134766,0.5123741030693054,0,0.0
5608279,0,-0.04374408721923828,0.05611807107925415,60.309940338134766,0.5123741030693054,0,0.0
5608299,0,-0.010936737060546875,0.06908777356147766,77.59589385986328,0.4994044005870819,0,0.0
5608319,0,-0.010936737060546875,0.06908777356147766,77.59589385986328,0.4994044005870819,0,0.0
5608339,0,-0.010936737060546875,0.06908777356147766,77.59589385986328,0.4994044005870819,0,0.0
5608359,0,-0.05194664001464844,0.07304558157920837,96.06648254394531,0.4954465925693512,0,0.0
5608379,0,-0.05194664001464844,0.07304558157920837,96.06648254394531,0.4954465925693512,0,0.0
5608399,0,-0.09295654296875,0.08111697435379028,119.01517486572266,0.4873751997947693,1,0.0
5608419,0,-0.09295654296875,0.08111697435379028,119.01517486572266,0.4873751997947693,1,0.0
5608439,0,0.019138336181640625,0.09110814332962036,136.91905212402344,0.4773840308189392,1,0.0
5608459,0,0.019138336181640625,0.09110814332962036,136.91905212402344,0.4773840308189392,1,0.0
