Timestamp,sensorFilter.baroAge0,sensorFilter.baroLag0,sensorFilter.baroSeen0,sensorFilter.tofAge0,sensorFilter.vz0
5613541,7,13,1,0,-0.14441728591918945
5613561,7,13,1,0,-0.14441728591918945
5613581,7,13,1,0,-0.14441728591918945
5613601,7,13,1,0,-0.14441728591918945
5613621,7,13,1,0,-0.14441728591918945
5613641,7,13,1,0,-0.14441728591918945
5613661,7,13,1,0,-0.14441728591918945
5613681,7,13,1,0,-0.14441728591918945
5613701,7,13,1,0,-0.14441728591918945
5613721,7,13,1,0,-0.14441728591918945
5613741,7,13,1,0,-0.14441728591918945
5613761,7,13,1,0,-0.14441728591918945
5613781,7,13,1,0,-0.14441728591918945
5613801,7,13,1,0,-0.14441728591918945
5613821,7,13,1,0,-0.14441728591918945
5613841,7,13,1,0,-0.14441728591918945
5613861,7,13,1,0,-0.14441728591918945
5613881,7,13,1,0,-0.14441728591918945
5613901,7,13,1,0,-0.14441728591918945
5613921,7,13,1,0,-0.14441728591918945
5613941,7,13,1,0,-0.14441728591918945
5613961,7,13,1,0,-0.14441728591918945
5613981,7,13,1,0,-0.14441728591918945
5614001,7,13,1,0,-0.14441728591918945
5614021,7,13,1,0,-0.14441728591918945
5614041,7,13,1,0,-0.14441728591918945
5614061,7,13,1,0,-0.14441728591918945
5614081,7,13,1,0,-0.14441728591918945
5614101,7,13,1,0,-0.14441728591918945
5614121,7,13,1,0,-0.14441728591918945
5614141,7,13,1,0,-0.14441728591918945
5614161,7,13,1,0,-0.14441728591918945
5614181,7,13,1,0,-0.14441728591918945
5614201,7,13,1,0,-0.14441728591918945
5614221,7,13,1,0,-0.14441728591918945
5614241,7,13,1,0,-0.14441728591918945
5614261,7,13,1,0,-0.14441728591918945
5614281,7,13,1,0,-0.14441728591918945
5614301,7,13,1,0,-0.14441728591918945
5614321,7,13,1,0,-0.14441728591918945
5614341,7,13,1,0,-0.14441728591918945
5614361,7,13,1,0,-0.14441728591918945
5614381,7,13,1,0,-0.14441728591918945
5614401,7,13,1,0,-0.14441728591918945
5614421,7,13,1,0,-0.14441728591918945
5614441,7,13,1,0,-0.14441728591918945
5614461,7,13,1,0,-0.14441728591918945
5614481,7,13,1,0,-0.14441728591918945
5614501,7,13,1,0,-0.14441728591918945
5614521,7,13,1,0,-0.14441728591918945
5614541,7,13,1,0,-0.14441728591918945
5614561,7,13,1,0,-0.14441728591918945
5614581,7,13,1,0,-0.14441728591918945
5614601,7,13,1,0,-0.14441728591918945
5614621,7,13,1,0,-0.14441728591918945
5614641,7,13,1,0,-0.14441728591918945
5614661,7,13,1,0,-0.14441728591918945
5614681,7,13,1,0,-0.14441728591918945
5614701,7,13,1,0,-0.14441728591918945
5614721,7,13,1,0,-0.14441728591918945
5614741,7,13,1,0,-0.14441728591918945
5614761,7,13,1,0,-0.14441728591918945
5614781,7,13,1,0,-0.14441728591918945
5614801,7,13,1,0,-0.14441728591918945
5614821,7,13,1,0,-0.14441728591918945
5614841,7,13,1,0,-0.14441728591918945
5614861,7,13,1,0,-0.14441728591918945
5614881,7,13,1,0,-0.14441728591918945
5614901,7,13,1,0,-0.14441728591918945
5614921,7,13,1,0,-0.14441728591918945
5614941,7,13,1,0,-0.14441728591918945
5614961,7,13,1,0,-0.14441728591918945
5614981,7,13,1,0,-0.14441728591918945
5615001,7,13,1,0,-0.14441728591918945
5615021,7,13,1,0,-0.14441728591918945
5615041,7,13,1,0,-0.14441728591918945
5615061,7,13,1,0,-0.14441728591918945
5615081,7,13,1,0,-0.14441728591918945
5615101,7,13,1,0,-0.14441728591918945
5615121,7,13,1,0,-0.14441728591918945
5615141,7,13,1,0,-0.14441728591918945
5615161,7,13,1,0,-0.14441728591918945
5615181,7,13,1,0,-0.14441728591918945
5615201,7,13,1,0,-0.14441728591918945
5615221,7,13,1,0,-0.14441728591918945
5615241,7,13,1,0,-0.14441728591918945
5615261,7,13,1,0,-0.14441728591918945
5615281,7,13,1,0,-0.14441728591918945
5615301,7,13,1,0,-0.14441728591918945
5615321,7,13,1,0,-0.14441728591918945
5615341,7,13,1,0,-0.14441728591918945
5615361,7,13,1,0,-0.14441728591918945
5615381,7,13,1,0,-0.14441728591918945
5615401,7,13,1,0,-0.14441728591918945
5615421,7,13,1,0,-0.14441728591918945
5615441,7,13,1,0,-0.14441728591918945
5615461,7,13,1,0,-0.14441728591918945
5615481,7,13,1,0,-0.14441728591918945
5615501,7,13,1,0,-0.14441728591918945
5615521,7,13,1,0,-0.14441728591918945
5615541,7,13,1,0,-0.14441728591918945
5615561,7,13,1,0,-0.14441728591918945
5615581,7,13,1,0,-0.14441728591918945
5615601,7,13,1,0,-0.14441728591918945
5615621,7,13,1,0,-0.14441728591918945
5615641,7,13,1,0,-0.14441728591918945
5615661,7,13,1,0,-0.14441728591918945
5615681,7,13,1,0,-0.14441728591918945
5615701,7,13,1,0,-0.14441728591918945
5615721,7,13,1,0,-0.14441728591918945
5615741,7,13,1,0,-0.14441728591918945
5615761,7,13,1,0,-0.14441728591918945
5615781,7,13,1,0,-0.14441728591918945
5615801,7,13,1,0,-0.14441728591918945
5615821,7,13,1,0,-0.14441728591918945
5615841,7,13,1,0,-0.14441728591918945
5615861,7,13,1,0,-0.14441728591918945
5615881,7,13,1,0,-0.14441728591918945
5615901,7,13,1,0,-0.14441728591918945
5615921,7,13,1,0,-0.14441728591918945
5615941,7,13,1,0,-0.14441728591918945
5615961,7,13,1,0,-0.14441728591918945
5615981,7,13,1,0,-0.14441728591918945
5616001,7,13,1,0,-0.14441728591918945
5616021,7,13,1,0,-0.14441728591918945
5616041,7,13,1,0,-0.14441728591918945
5616061,7,13,1,0,-0.14441728591918945
5616081,7,13,1,0,-0.14441728591918945
5616101,7,13,1,0,-0.14441728591918945
5616121,7,13,1,0,-0.14441728591918945
5616141,7,13,1,0,-0.14441728591918945
5616161,7,13,1,0,-0.14441728591918945
5616181,7,13,1,0,-0.14441728591918945
5616201,7,13,1,0,-0.14441728591918945
5616221,7,13,1,0,-0.14441728591918945
5616241,7,13,1,0,-0.14441728591918945
5616261,7,13,1,0,-0.14441728591918945
5616281,7,13,1,0,-0.14441728591918945
5616301,7,13,1,0,-0.14441728591918945
5616321,7,13,1,0,-0.14441728591918945
5616341,7,13,1,0,-0.14441728591918945
5616361,7,13,1,0,-0.14441728591918945
5616381,7,13,1,0,-0.14441728591918945
5616401,7,13,1,0,-0.14441728591918945
5616421,7,13,1,0,-0.14441728591918945
5616441,7,13,1,0,-0.14441728591918945
5616461,7,13,1,0,-0.14441728591918945
5616481,7,13,1,0,-0.14441728591918945
5616501,7,13,1,0,-0.14441728591918945
5616521,7,13,1,0,-0.14441728591918945
5616541,7,13,1,0,-0.14441728591918945
5616561,7,13,1,0,-0.14441728591918945
5616581,7,13,1,0,-0.14441728591918945
5616601,7,13,1,0,-0.14441728591918945
5616621,7,13,1,0,-0.14441728591918945
5616641,7,13,1,0,-0.14441728591918945
5616661,7,13,1,0,-0.14441728591918945
5616681,7,13,1,0,-0.14441728591918945
5616701,7,13,1,0,-0.14441728591918945
5616721,7,13,1,0,-0.14441728591918945
5616741,7,13,1,0,-0.14441728591918945
5616761,7,13,1,0,-0.14441728591918945
5616781,7,13,1,0,-0.14441728591918945
5616801,7,13,1,0,-0.14441728591918945
5616821,7,13,1,0,-0.14441728591918945
5616841,7,13,1,0,-0.14441728591918945
5616861,7,13,1,0,-0.14441728591918945
5616881,7,13,1,0,-0.14441728591918945
5616901,7,13,1,0,-0.14441728591918945
5616921,7,13,1,0,-0.14441728591918945
5616941,7,13,1,0,-0.14441728591918945
5616961,7,13,1,0,-0.14441728591918945
5616981,7,13,1,0,-0.14441728591918945
5617001,7,13,1,0,-0.14441728591918945
5617021,7,13,1,0,-0.14441728591918945
5617041,7,13,1,0,-0.14441728591918945
5617061,7,13,1,0,-0.14441728591918945
5617081,7,13,1,0,-0.14441728591918945
5617101,7,13,1,0,-0.14441728591918945
5617121,7,13,1,0,-0.14441728591918945
5617141,7,13,1,0,-0.14441728591918945
5617161,7,13,1,0,-0.14441728591918945
5617181,7,13,1,0,-0.14441728591918945
5617201,7,13,1,0,-0.14441728591918945
5617221,7,13,1,0,-0.14441728591918945
5617241,7,13,1,0,-0.14441728591918945
5617261,7,13,1,0,-0.14441728591918945
5617281,7,13,1,0,-0.14441728591918945
5617301,7,13,1,0,-0.14441728591918945
5617321,7,13,1,0,-0.14441728591918945
5617341,7,13,1,0,-0.14441728591918945
5617361,7,13,1,0,-0.14441728591918945
5617381,7,13,1,0,-0.14441728591918945
5617401,7,13,1,0,-0.14441728591918945
5617421,7,13,1,0,-0.14441728591918945
5617441,7,13,1,0,-0.14441728591918945
5617461,7,13,1,0,-0.14441728591918945
5617481,7,13,1,0,-0.14441728591918945
5617501,7,13,1,0,-0.14441728591918945
5617521,7,13,1,0,-0.14441728591918945
5617541,7,13,1,0,-0.14441728591918945
5617561,7,13,1,0,-0.14441728591918945
5617581,7,13,1,0,-0.14441728591918945
5617601,7,13,1,0,-0.14441728591918945
5617621,7,13,1,0,-0.14441728591918945
5617641,7,13,1,0,-0.14441728591918945
5617661,7,13,1,0,-0.14441728591918945
5617681,7,13,1,0,-0.14441728591918945
5617701,7,13,1,0,-0.14441728591918945
5617721,7,13,1,0,-0.14441728591918945
5617741,7,13,1,0,-0.14441728591918945
5617761,7,13,1,0,-0.14441728591918945
5617781,7,13,1,0,-0.14441728591918945
5617801,7,13,1,0,-0.14441728591918945
5617821,7,13,1,0,-0.14441728591918945
5617841,7,13,1,0,-0.14441728591918945
5617861,7,13,1,0,-0.14441728591918945
5617881,7,13,1,0,-0.14441728591918945
5617901,7,13,1,0,-0.14441728591918945
5617921,7,13,1,0,-0.14441728591918945
5617941,7,13,1,0,-0.14441728591918945
5617961,7,13,1,0,-0.14441728591918945
5617981,7,13,1,0,-0.14441728591918945
5618001,7,13,1,0,-0.14441728591918945
5618021,7,13,1,0,-0.14441728591918945
5618041,7,13,1,0,-0.14441728591918945
5618061,7,13,1,0,-0.14441728591918945
5618081,7,13,1,0,-0.14441728591918945
5618101,7,13,1,0,-0.14441728591918945
5618121,7,13,1,0,-0.14441728591918945
5618141,7,13,1,0,-0.14441728591918945
5618161,7,13,1,0,-0.14441728591918945
